major_options,count
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Off Road Package', 'Heated Seats', 'CarPlay']",42706
"['Alloy Wheels', 'Bluetooth', 'Backup Camera']",18042
['Alloy Wheels'],8583
['Steel Wheels'],8508
"['Bluetooth', 'Backup Camera']",7899
"['Steel Wheels', 'Bluetooth', 'Backup Camera']",7811
['Backup Camera'],5355
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",4864
"['Alloy Wheels', 'Bluetooth']",4810
"['Alloy Wheels', 'Backup Camera']",4664
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",4402
['Bluetooth'],4099
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",3888
"['Adaptive Cruise Control', 'Steel Wheels', 'Bluetooth', 'Backup Camera']",3300
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",3060
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",2814
"['Alloy Wheels', 'Backup Camera', 'Android Auto', 'CarPlay']",2707
"['Steel Wheels', 'Bluetooth']",2694
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",2465
['Sunroof/Moonroof'],2255
"['Sunroof/Moonroof', 'Alloy Wheels']",2021
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",1925
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1864
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",1793
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1785
"['Steel Wheels', 'Backup Camera']",1660
"['Backup Camera', 'Android Auto', 'CarPlay']",1614
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",1578
"['Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",1569
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",1456
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",1455
"['Navigation System', 'Alloy Wheels', 'Bluetooth']",1439
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Quick Order Package']",1433
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1424
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",1290
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera']",1269
"['Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera']",1269
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",1262
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",1230
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",1220
"['Bluetooth', 'Backup Camera', 'Remote Start']",1170
['Quick Order Package'],1142
"['Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",1140
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",1132
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",1130
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",1128
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",1096
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",1079
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",1067
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",1035
"['Android Auto', 'CarPlay']",1032
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",1015
"['Sunroof/Moonroof', 'Navigation System']",1002
"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",996
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring']",991
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",990
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",976
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth']",972
"['Leather Seats', 'Alloy Wheels']",963
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",945
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",944
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",920
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera', 'Heated Seats']",876
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera']",867
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",853
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",822
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",820
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'Quick Order Package', 'CarPlay']",800
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Android Auto', 'CarPlay', 'Convenience Package']",799
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",798
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",792
"['Alloy Wheels', 'Bluetooth', 'Heated Seats']",777
"['Adaptive Cruise Control', 'Backup Camera']",770
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",756
"['Alloy Wheels', 'Blind Spot Monitoring', 'Parking Sensors', 'Android Auto', 'CarPlay']",739
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",732
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Heated Seats']",725
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",716
['Heated Seats'],710
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",700
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Remote Start', 'Heated Seats', 'Android Auto', 'CarPlay']",686
"['Alloy Wheels', 'Heated Seats']",674
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay', 'Convenience Package']",668
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Heated Seats']",659
"['Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",654
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",654
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",648
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",641
"['Sunroof/Moonroof', 'Alloy Wheels', 'Heated Seats']",637
